City,State,Latitude,Longitude,PM2_5_ugm3,PM25_Category_India
Agartala,Tripura,23.8315,91.2868,41.2,Satisfactory
Ahmedabad,Gujarat,23.0225,72.5714,123.9,Very_Poor
Aizawl,Mizoram,23.7271,92.7176,14.9,Good
Bengaluru,Karnataka,12.9716,77.5946,40.0,Satisfactory
Bhopal,Madhya Pradesh,23.2599,77.4126,56.7,Satisfactory
Bhubaneswar,Odisha,20.2961,85.8245,88.2,Moderate
Chandigarh,Punjab,30.7333,76.7794,84.3,Moderate
Chennai,Tamil Nadu,13.0827,80.2707,40.9,Satisfactory
Dehradun,Uttarakhand,30.3165,78.0322,59.8,Satisfactory
Delhi,Delhi,28.6139,77.209,216.1,Very_Poor
Gangtok,Sikkim,27.3389,88.6065,28.2,Good
Gurugram,Haryana,28.4595,77.0266,224.4,Very_Poor
Guwahati,Assam,26.1445,91.7362,40.6,Satisfactory
Hyderabad,Telangana,17.385,78.4867,72.4,Moderate
Imphal,Manipur,24.817,93.9368,25.7,Good
Itanagar,Arunachal Pradesh,27.0844,93.6053,7.1,Good
Jaipur,Rajasthan,26.9124,75.7873,43.1,Satisfactory
Kohima,Nagaland,25.6751,94.1086,20.6,Good
Kolkata,West Bengal,22.5726,88.3639,144.8,Very_Poor
Lucknow,Uttar Pradesh,26.8467,80.9462,109.2,Poor
Mumbai,Maharashtra,19.076,72.8777,81.7,Moderate
Panaji,Goa,15.4909,73.8278,36.4,Satisfactory
Patna,Bihar,25.5941,85.1376,110.1,Poor
Raipur,Chhattisgarh,21.2514,81.6296,104.1,Poor
Ranchi,Jharkhand,23.3441,85.3096,58.4,Satisfactory
Shillong,Meghalaya,25.5788,91.8933,6.9,Good
Shimla,Himachal Pradesh,31.1048,77.1734,51.9,Satisfactory
Thiruvananthapuram,Kerala,8.5241,76.9366,11.2,Good
Visakhapatnam,Andhra Pradesh,17.6868,83.2185,72.2,Moderate
